10,"r950","〔女の子〕","きゃっ、きゃっ！","(Girls)","*giggling*",,"*giggling*"
76,"p490","〔ゾイサイト〕","われわれを、支配者気取りで一方的に監視するなど…","(Zoisite)",,,"They're watching us, acting as if they ruled us..."
77,"p491","〔ネフライト〕","立ち上がりましょう！
王子！","(Nephrite)",,,"We must take action, Prince!"
78,"p492","〔ネフライト〕","逆にこちらが月の王国を支配してやるのです","(Nephrite)",,,"WE should be the ones ruling over the Moon Kingdom!"
79,"p493","〔４人〕","王子！！","(All Four)",,,"PRINCE!!"
80,"p494","〔エンディミオン〕","なぜ争おうとする？","(Endymion)",,,"Why do you wish to oppose them now?"
81,"p495","〔エンディミオン〕","いつ言いなりになったというんだ！！","(Endymion)",,,"Do you have any idea when we started obeying them?"
82,"p496","〔エンディミオン〕","監視されているだと？","(Endymion)",,,"You think they're simply {watching} us?"
83,"p497","〔エンディミオン〕","わからないのか！？","(Endymion)",,"in all honesty, I don't get this whole exchange. Maybe it'll get clearer later, or maybe it's a reference to the show...","Don't you get it?!"
84,"p498","〔エンディミオン〕","あいつはわれわれを利用しようとしているのだぞ！！","(Endymion)",,,"They're USING us!!"
85,"p499","〔ネフライト〕","ハァッ、ハァッ……","(Nephrite)",,,"*huff* *huff*"
86,"p500","〔ネフライト〕","再生のショックで","(Nephrite)",,,"It seems the shock of my resurrection"
87,,"〔ネフライト〕","うしなわれた過去の記憶を取り戻す……か","(Nephrite)",,,"brought back some of my lost memories..."
88,"p501","〔ネフライト〕","あまりにも……おそすぎる……","(Nephrite)",,,"But...it's too late now..."
