220,,,,"(e918-e918c)","Animation of Artemis climbing onto Minako's shoulder."
221,,,,"(e922)","OOPS"
222,,,,"(e926)","Minako chatting with Megumi just after they meet."
223,,,,"(e926)","The artist mistakenly drew Minako in her casual outfit instead of her school uniform,"
224,,,,"(e926)","which is probably the reason it's not used."
225,,,,"(e929)","Left half of a {panning} shot of Dream Land..."
226,,,,"(e929a)","...and the right half."
227,,,,"(e935a)","A slightly different shot of Minako after leaving Megumi. Her eyes are opened further here."
228,,,,"(e935b)","Minako happy about something, probably the thought of going to Dream Land the next day."
229,,,,"(e935c)","Minako probably fantasizing about Dream Land..."
230,,,,"(e935d)","...and, probably, dismissing Artemis's suggestion that she just wants to goof off."
231,,,,"(e938a)","Unused lip flaps for Ami during the discussion after Usagi and Rei leave the shrine meeting."
232,,,,"(e938b)","The same for Minako."
233,,,,"(e944b)","An unused {nighttime} shot of the Ferris wheel at Dream Land. Only a {daytime} version is used."
234,,,,"(e956)","Minako climbing out of bed to answer her communicator."
235,,,,"(e957)","It's Luna, telling her that Nephrite is under attack."
236,,,,"(e957a-e957c)","Minako dashes off to the scene."
237,,,,"(e960-e960e)","Unused shot of Venus's Crescent Beam blowing Kunzite's mask off."
238,,,,"(e970d)","This would have been used as Venus tries and fails to withstand Kunzite's attack."
239,,,,"(e983-e983b)","An unfinished animation of Venus throwing Kunzite. The final game simply cuts to him on the ground."
240,,,,"(e995)","This first frame of the {light barrier} animation wasn't used in the original game due to a bug."
241,,,,"(e995)","It's used in this translation due to that bug being fixed, though."
242,,,,"(e1012c)","Rei with her eyes closed, probably blinking in response to being surprised by Minako."
243,,,,"(e1122f-e1122g)","Minako reacting positively to something."
244,,,,"(e1131-e1131a)","Minako reacting even more positively to something!"
245,,,,"(e1319)","Minako lying in bed. Could've been used in any of the many scenes where that occurs."
246,,,,"(Message)","And wow, that's it for the unused graphics. Hope that was informative."
247,,,,"(Message)","Now, the game also has 125 unused sound files..."
248,,,,"(Message)","...but we didn't translate them and they're generally not that interesting anyway."
249,,,,"(Message)","I'm just going to play them all through in order, without commentary, for the sake of completeness."
250,,,,"(Message)","All right, here we go..."
