98,,,,"(e267)","An emphatic shot of Queen Beryl intended to show at the climax of her summoning ritual."
99,,,,"(e271)","The apparitions of the Dark Kingdom, but without the city backdrop."
100,,,,"(e272)","A shot of the city's energy being drained..."
101,,,,"(e272a)","...and the right side of the same shot."
102,,,,"(e273)","Artemis reacting to the Dark Kingdom takeover."
103,,,,"(e274)","Luna doing the same."
104,,,,"(e293)","Naru reacting to the glowing fragment of the Black Crystal in her hand."
105,,,,"(e293)","The finished game cuts directly to a view of the fragment in her palm instead."
106,,,,"(e296)","The next images are for a scrapped scene following the Dark Kingdom's takeover."
107,,,,"(e296)","A flower grows on the ground..."
108,,,,"(e296a)","...but withers after its energy is drained."
109,,,,"(e296b)","The +Senshi+Soldiers+ teleport in."
110,,,,"(e297-e297e)","This first image is actually used in the game; however, it was originally part of a longer animation..."
111,,,,"(e297-e297e)","...showing Usagi bending over to gaze sorrowfully at the wilted flower."
112,,,,"(e298)","Closeup of the flower."
113,,,,"(e311)","Sailor Moon reacting to Beryl's appearance during their confrontation."
114,,,,"(e311)","A similar shot of Luna is used instead (even though it's Moon who speaks in this scene)."
115,,,,"(e313)","A shot of the monument at Tokyo Tower..."
116,,,,"(e313a)","...and Nephrite gazing at it from below."
117,,,,"(e318)","Shot of Queen Beryl during her confrontation with Moon."
118,,,,"(e339a)","The upper half of the shot of Tuxedo +Kamen+Mask+'s entrance during the Moon-Beryl fight."
119,,,,"(e341)","Tuxedo +Kamen+Mask+ leaping down from his perch to join the battle."
120,,,,"(e372)","It's Luna!"
121,,,,"(e372a)","...Who's confused about something, probably Moon attacking before the countdown in the Beryl fight."
122,,,,"(e373-e373b)","Moon getting a message on her communicator, probably after Beryl's initial {defeat}."
123,,,,"(e374-e374a)","Unused lip flaps."
124,,,,"(e379)","Venus getting a message on her communicator (possibly Luna calling about Moon's capture)."
125,,,,"(e390a)","Alternate version of a used shot, with Usagi now holding the Moon Rod."
126,,,,"(e391)","Unused first frame of the animation of Beryl being defeated."
127,,,,"(e396)","An additional shot of Kunzite that would probably have appeared after he proclaims victory."
128,,,,"(e408)","Beryl reacting with annoyance to Sailor Moon's ploy."
129,,,,"(e418)","Possibly Usagi after being released from Beryl's stranglehold."
130,,,,"(e424)","Usagi readying the Moon Rod against Beryl for the second time."
131,,,,"(e433-e433a)","Tuxedo +Kamen+Mask+, probably reacting to the agonized resurrection of the Dark Kingdom."
132,,,,"(e442)","Tuxedo +Kamen+Mask+ comforting Moon as she pleads for the fighting to stop."
133,,,,"(e444)","This seems to be a shot of Tuxedo +Kamen+Mask+ realizing the +Senshi+Soldiers+ are in trouble."
134,,,,"(e447)","A wide shot of Tuxedo +Kamen+Mask+ attacking the +Shitennou+Four Heavenly Kings+. Left side..."
135,,,,"(e447a)","...middle..."
136,,,,"(e447b)","...and right."
137,,,,"(e449-e449c)","Mercury apparently reacting to Tuxedo +Kamen+Mask+'s fight..."
138,,,,"(e449d-e449f)","...and running away."
139,,,,"(e462-e462a)","Unused lip flaps."
140,,,,"(e477)","Unused first frame of the +Senshi+Soldiers+ running off to confront Past Wiseman."
141,,,,"(e480-e480a)","Possibly Nephrite reacting to having his memories restored."
