39,"p891","〔パスト・ワイズマン〕","ムダだといっている","(Past Wiseman)","This is all useless."
40,"p892","〔マーズ〕","なんて巨大な妖気！！","(Mars)","This evil energy is immense!"
41,"p893a","〔パスト・ワイズマン〕","きさまらがいくらあがこうと、","(Past Wiseman)","The Bloody Opal gives me absolute control over all spirits."
42,,"〔パスト・ワイズマン〕","霊気をあやつるすべをもつ","(Past Wiseman)",
43,"p893b","〔パスト・ワイズマン〕","このブラッディオパールの前では無力","(Past Wiseman)","No matter how much you struggle, you are utterly powerless before me."
44,,"〔パスト・ワイズマン〕","ムダだと言っているのだ","(Past Wiseman)",
45,"p894","〔ジェダイト〕","ぐ……かはあ！！","(Jadeite)","Rgh...Gwah!"
46,"p895","〔クンツァイト〕","ぐごおぉぉ！！","(Kunzite)","GRAAAGH!"
47,"p896","〔ゾイサイト〕","ぎぎぎぎぎ……","(Zoisite)","Urrrgh..."
48,"p897","〔クインベリル〕","ぐ……ぐおおおっ！！","(Queen Beryl)","Gh...AAARGH!!"
49,"p898","〔ジュピター〕","なっ……","(Jupiter)","What the―?"
50,"p899","〔パスト・ワイズマン〕","もはや、この者たちにあんそくの場はない","(Past Wiseman)","They are unable to rest in peace."
51,"p900","〔パスト・ワイズマン〕","きさまらが倒せば、倒しただけこいつらは、死の苦し","(Past Wiseman)","Every time they die, they will come back to life,"
52,,"〔パスト・ワイズマン〕","みと再生の苦つうを味わいつづけるのだ……","(Past Wiseman)","suffering pain most excruciating..."
53,"p901","〔セーラームーン〕","……！！","(Sailor Moon)","*gasp*"
54,"p902","〔ヴィーナス〕","ひどい……","(Venus)","...That's so cruel..."
55,"p904","〔パスト・ワイズマン〕","さあ、まだけいやくははたされておらんぞ","(Past Wiseman)","You have not yet fulfilled your pact."
56,"p905","〔パスト・ワイズマン〕","セーラー戦士たちを血祭りにあげ、","(Past Wiseman)","You must eliminate the Sailor +Senshi+Soldiers+ and bring me the Illusionary Silver Crystal."
57,,"〔パスト・ワイズマン〕","幻の銀水晶をわが元にけん上するのだ","(Past Wiseman)",
58,"p906","〔クインベリル〕","のぞむ……ところだ……","(Queen Beryl)","As you...command..."
59,"p907","〔セーラームーン〕","やめてぇっ！！もうやめて……おねがい……","(Sailor Moon)","STOP IT! Please...stop it..."
60,"p908","〔セーラームーン〕","……どうしてそこまでして戦わなくちゃいけないの！","(Sailor Moon)","Why must we fight like this?!"
61,"p909","〔ジュピター〕","セーラームーン……","(Jupiter)","Sailor Moon..."
62,"p910","〔クインベリル〕","このわたしをあわれむというのか、","(Queen Beryl)","Are you pitying me, Princess Serenity?"
63,,"〔クインベリル〕","プリンセス・セレニティ。","(Queen Beryl)",
64,"p911","〔クインベリル〕","どこまでも、にくにくしい小娘よ……","(Queen Beryl)","You loathsome, detestable girl..."
65,"p912","〔クインベリル〕","ならばその命をいただこう","(Queen Beryl)","Then allow me to take your life."
66,"p913","〔ヴィーナス〕","ベリル！　クレッセント…","(Venus)","Beryl! Crescent...!"
67,"p914","〔クンツァイト〕","きさまの相手はこのオレだ","(Kunzite)","I shall be your opponent!"
68,"p915","〔ジュピター〕","ずりゃああ！！","(Jupiter)","Zuryah!"
69,"p916","〔ジュピター〕","わたしが相手になったげるよ！　来な！！","(Jupiter)","You're fighting ME this time! Bring it on!"
70,"p917","〔クインベリル〕","ちぃっ……ジャマを……","(Queen Beryl)","Tch...Get out..."
71,"p918","〔クインベリル〕","するなあっ！！","(Queen Beryl)","OF MY WAY!!"
72,"p919","〔セーラームーン〕","あ……ああ……","(Sailor Moon)","*sob*"
73,"p924","〔セーラームーン〕","やめて……","(Sailor Moon)","Stop it..."
74,"p925","〔セーラームーン〕","みんな……おねがい、
やめて……","(Sailor Moon)","I'm begging you...
Please, stop it..."
75,"p928","〔ルナ〕","セーラームーン！　それにみんな！","(Luna)","Sailor Moon! Girls!"
76,"p929","〔ルナ〕","いったんひくのよ！
わたしの所に来て！","(Luna)","You have to retreat!
Come here!"
77,"p930","〔ジュピター〕","ひくったって……これじゃ","(Jupiter)","That's easier said than done..."
78,"p931","〔マーズ〕","どうしろっていうのよ！","(Mars)","We need a distraction!"
79,"p932","〔タキシード仮面〕","ここはわたしが
引き受けよう！","(Tuxedo +Kamen+Mask+)","This is where I come in."
80,"p933","〔ジュピター〕","タキシード仮面？","(Jupiter)","Tuxedo +Kamen+Mask+?"
81,"p934","〔タキシード仮面〕","セーラームーンを
たのんだぞ","(Tuxedo +Kamen+Mask+)","Take care of Sailor Moon."
82,"p935","〔マーズ〕","え？　あ、はい……","(Mars)","Huh? Y-Yes, sir..."
83,"p936","〔セーラームーン〕","タキシード仮面！
","(Sailor Moon)","Tuxedo +Kamen+Mask+!"
84,"p937","〔セーラームーン〕","いや！　むちゃよ！","(Sailor Moon)","No! It's too dangerous!"
85,"p938","〔タキシード仮面〕","大丈夫、しんぱいするな","(Tuxedo +Kamen+Mask+)","Don't worry. I'll be fine."
86,"p952","〔セーラームーン〕","タキシード仮面……","(Sailor Moon)","Tuxedo +Kamen+Mask+..."
87,"p946","〔セーラームーン〕","タキシード仮面！！
いや、あたしものこる！","(Sailor Moon)","Tuxedo +Kamen+Mask+!
No, I'm staying too!"
88,"p947","〔セーラームーン〕","！？","(Sailor Moon)","?!"
89,"p948","〔タキシード仮面〕","そのバラの花にかけて、わたしは悪にくっしない","(Tuxedo +Kamen+Mask+)","I swear upon this rose―I shall never yield to evil."
90,"p949","〔タキシード仮面〕","セーラームーン、わたしを信じろ","(Tuxedo +Kamen+Mask+)","Trust me, Sailor Moon."
91,"p950","〔タキシード仮面〕","セーラー戦士たち、ながいは無用だ","(Tuxedo +Kamen+Mask+)","Sailor +Senshi+Soldiers+, there's no more time."
92,"p951","〔タキシード仮面〕","キミたちのプリンセスを
守ってくれ……","(Tuxedo +Kamen+Mask+)","Protect your princess."
93,"p952","〔セーラームーン〕","タキシード仮面……","(Sailor Moon)","Tuxedo +Kamen+Mask+..."
